name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso
戸倉上山田温泉,長野県,千曲市,上山田温泉一丁目,http://chikuma-kanko.com/modules/contents/index.php?content_id=4,4.17,10263,32,28,27,20,8,28,3,True,False,False,True,False,False,False,False,False,False
上諏訪温泉,長野県,諏訪市,高島二丁目,http://www.suwako-onsen.com,4.20,18501,29,28,18,15,3,26,2,True,False,True,True,False,False,False,False,False,False
渋温泉,長野県,山ノ内町,大字平穏,http://www.shibuonsen.net,4.22,4632,30,27,16,13,1,24,1,True,True,False,True,True,True,False,True,False,False
越前玉川温泉,福井県,越前町,茂原,なし,4.42,1590,30,27,12,2,0,27,6,True,True,True,False,False,True,False,False,False,False
嬉野温泉,佐賀県,嬉野市,嬉野町大字岩屋川内,http://spa-u.net,4.20,13798,29,27,22,22,5,26,1,True,True,True,False,False,False,False,True,False,False
雲見温泉,静岡県,松崎町,雲見,http://kumomikankou.com,4.38,1341,28,26,10,10,0,20,0,True,True,False,False,False,True,False,False,False,False
弓ヶ浜温泉,静岡県,南伊豆町,湊,なし,4.30,1375,26,26,5,7,0,21,0,True,True,False,False,False,True,False,False,False,False
湯の川温泉,北海道,函館市,湯川町一丁目,http://hakodate-yunokawa.jp,4.24,11967,26,25,22,18,8,25,4,False,True,False,False,False,False,False,False,False,False
新那須温泉,栃木県,那須町,大字湯本,http://www.nasuonsen.com,4.04,10106,26,25,15,13,4,25,3,True,True,True,True,False,False,True,False,False,False
池の平温泉,新潟県,妙高市,大字関川,http://www.ikenotaira.jp,4.37,1169,28,25,11,2,1,24,0,True,True,True,True,False,True,False,False,False,False
穂高温泉郷,長野県,安曇野市,穂高有明,http://www.hotakaonsen.com,4.35,1732,27,24,10,10,0,23,1,True,False,False,True,False,False,False,False,False,False
網代温泉,静岡県,熱海市,下多賀,http://www.ajirospa.com,4.09,6404,27,24,7,13,2,22,3,True,True,False,False,False,True,False,False,False,False
今井浜温泉,静岡県,河津町,見高,https://www.kawazu-onsen.com/yado/imaispa.html,4.66,2258,25,24,6,11,3,21,1,True,True,False,False,False,False,False,False,False,False
久美浜温泉郷,京都府,京丹後市,久美浜町湊宮,なし,4.36,2227,25,24,13,8,0,24,3,False,True,False,True,True,True,False,False,False,False
香住温泉,兵庫県,香美町,香住区七日市,なし,4.44,2658,26,24,12,7,1,25,1,True,True,False,False,False,True,False,False,False,False
指宿温泉,鹿児島県,指宿市,東方,http://www.ibusuki.or.jp/spa/,4.12,9710,26,24,17,13,4,24,1,False,True,False,True,False,False,False,False,False,False
秩父温泉,埼玉県,秩父市,黒谷,なし,4.27,9805,28,24,21,17,2,26,0,True,True,True,True,False,False,False,False,False,False
戸狩温泉,長野県,飯山市,大字豊田,http://www.togarionsen.jp,3.76,356,25,22,12,0,0,22,0,True,False,False,False,False,False,False,False,False,False
下田温泉,静岡県,下田市,柿崎,http://hotel.shimoda100.com,3.95,6214,23,22,12,9,2,21,1,True,True,False,False,False,False,False,False,False,False
新平湯温泉,岐阜県,高山市,奥飛騨温泉郷一重ヶ根,http://shinhirayuonsen.com,4.33,3233,24,22,11,21,1,20,0,True,False,True,True,False,False,False,False,False,False
筋湯温泉,大分県,九重町,大字湯坪,http://www.sujiyu-onsen.com/,4.43,1852,25,22,7,16,1,18,0,True,True,False,False,False,False,False,False,False,False
奥日光湯元温泉,栃木県,日光市,湯元,http://www.nikkoyumoto.com,4.43,5658,23,21,16,16,1,18,1,False,True,True,True,True,True,True,True,False,False
浅間温泉,長野県,松本市,浅間温泉一丁目,http://www.asamaonsen.com,4.30,4726,25,21,18,12,2,21,0,True,False,False,True,False,False,False,False,False,False
