name,prefecture,city,lv01Nm,link,hyoka,comi,yado,onsen_num,dai,roten,sauna,kinen,kokyu,tanjun,enka,tansan,iou,housya,ryusan,sansei,gantetsu,nisan,youso,latitude,longitude,都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(ｍ),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na+,K+,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
老神温泉,群馬県,沼田市,利根町老神,http://www.oigami.net,4.20,4548,17,15,10,12,2,15,0,True,False,True,True,False,False,False,False,False,False,36.672591,139.210266,群馬県,利根郡片品村,139.0,19.0,58.0,36.0,51.0,52.0,0,不明,温泉・鉱泉,0,0,0,38.5,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,734.5,18.8,0,0,0,163,96.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,1735,0,0,0,0,0,0,0,0,52.4,0,0,0.0,0,0,0,0,0,0,0,mg/kg,0,"新潟地熱資源図説明書,地質調査所,1993"
修善寺温泉,静岡県,伊豆市,修善寺,http://shuzenji.info,4.51,4605,18,15,12,11,4,13,6,True,False,False,False,False,False,False,False,False,False,34.9701534,138.9239397,静岡県,熱海市,139.0,4.0,13.0,35.0,5.0,52.0,0,井戸,温泉・鉱泉,300.0,0,0,63.0,0,0,8.0,0,0,0,0,9300.0,0,0,0,0,0,0,555.0,15.1,0,0,0,1.7,980.6,0,0,0.6,0,0,0,0.7,0,0,0,0,0,2155.8,0,0,0,0,0,0,0,0,629.2,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0,8.2,0.0,0,0,0,0,0,0,0,0,1964,"熱海温泉の熱水系について,地調月報,1969"
堂ヶ島温泉,静岡県,西伊豆町,仁科,,4.46,6086,16,15,7,8,1,15,2,True,False,False,False,False,True,False,False,False,False,34.769611,138.77427,静岡県,根の湯,138.0,55.0,47.0,34.0,58.0,3.0,0,井戸,温泉・鉱泉,0,0,0,0,0,0,8.2,0,0,0,0,763.3560000000001,0,0,0,0,0,0,171.8,3.749,0,0,0,1.383,50.71,0,0,0,0,0,0,0,0,0,0,0,0,186.8,0,0,0,0,0,0,0,0,142.8,0,0,0,0,123,1.2429999999999999,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1952,"伊豆修善寺温泉地域の地質及び温泉,地質学雑誌,1959"
稲取温泉,静岡県,東伊豆町,稲取,http://www.inatorionsen.or.jp,4.35,6111,15,15,11,9,5,14,2,True,True,False,False,False,False,False,True,False,False,34.771009,139.04671,静岡県,加茂郡東伊豆町,139.0,4.0,28.0,34.0,50.0,37.0,0,井戸,温泉・鉱泉,0,0,0,45.0,0,0,8.4,0,0,0,0,1244.0,0,0,0,0,0,0,355.0,6,0,0,0,2.4,25.9,0,0,0,0,0,0,0,0,0,0,0,0,429.4,0,0,0,0,0,0,0,0,208.3,0,0,0,0,160.4,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1973,"熱川温泉および周辺地域の地温と化学成分,地熱,1978"
天ヶ瀬温泉,大分県,日田市,天瀬町湯山,http://www.okaeriamagase.com,4.32,1211,21,15,8,13,0,14,2,True,True,True,True,False,False,False,False,False,False,33.241178,131.031915,大分県,耶馬渓町深耶馬,131.0,10.0,10.0,33.0,22.0,53.0,210.0,井戸,温泉・鉱泉,500.0,0,25.4,47.0,30.0,0,8.0,8.63,0,0,0,508.0,0,0,0,0,0,0.08,131.0,27.0,0.08,0.02,0.34,1.72,7.43,0,0,0.0,0.06,0,0,0.02,0.0,0,0,0,0.2,48.1,0.19,0.02,0,0,0,0,0,0,2.1,0,0,0,0,336.0,0,0,0,0,0,0,0,0,116.0,0,0,0.0,0.0,239.0,0,0.0,0.0002,0,0.53,0,1984-09-05 00:00:00,"平成元年度 全国地熱資源総合調査 広域熱水流動調査（第3次）鶴見岳地域 流体地化学調査報告書(要旨),1990"
登別温泉,北海道,登別市,登別温泉町,http://www.noboribetsu-spa.jp/?lang=ja,4.23,13471,16,14,13,13,6,14,3,False,True,False,True,True,True,True,True,False,False,42.495933,141.141732,北海道,千歳市支笏湖オコタン,141.0,16.0,45.0,42.0,46.0,25.0,0,井戸,温泉・鉱泉,10,0,0,42.4,38.9,0,7.0,7.4,0,0,0,1433.0,0,0,0,0,0,0,288.0,43.3,0,0,0,28.2,100.0,0,0,0.05,0.44,0,0,0.73,0.013,0.17,0,0,1.2,350.5,0,0,0,0,0,0,0,0,260.9,0,0,0,0,356.2,0,0,0,0,0,0,0,0,159.9,0,38.2,0.0,0.04,45.3,0,0.307,0,0,0,0,1972-05-31 00:00:00,北海道の地熱・温泉（B）西南北海道北部、北海道立地下資源調査所、1977
瀬波温泉,新潟県,村上市,瀬波温泉二丁目,http://www.senami.or.jp,4.23,8050,15,14,11,9,3,14,0,False,True,False,False,False,False,False,False,False,False,38.2157214,139.4389424,新潟県,岩船郡関川村,139.0,35.0,3.0,38.0,5.0,49.0,0,不明,温泉・鉱泉,"44, 200",0,0,40.0,373.0,0,7.4,0,0,0,0,0,0,0,0,0,0,0,285.0,17,0,0,0,1.2,35.2,0,0,0,0,0,0,0,0,0,0,0,0,225.0,0,0,0,0,0,0,0,0,294,0,0,0,0,130.0,0,0,0,0,0,0,0,0,23.85,0,0,0.0,0,0,0,0,0,0,0,mg/kg,0,"新潟地熱資源図説明書,地質調査所,1993"
小浜温泉,長崎県,雲仙市,小浜町北本町,https://obama.or.jp/,4.21,3197,18,14,12,10,1,14,0,True,True,False,False,False,False,False,False,False,False,32.7187337,130.2016978,長崎県,有明町,130.0,19.0,53.0,32.0,51.0,3.0,0,井戸,温泉・鉱泉,460,0,11.8,37.6,200,0,8.2,8.2,0,0.9995,0,1015.0,0,0,0,0,0,0.4,384.0,2.6,0,0,1.2,1.7,5.3,0.3,0.1,0.5,0,0,0,0.4,0,0,0,0,0.5,3.8,0.3,0.1,0,0,0,0,0,0,0.2,0,0,0.2,0,1075.0,36.0,0,0,0,0,0,0,0,0,29.1,3.2,0.0,1.1,10.1,0,0,0,0,0,mg/kg,1992-01-11 00:00:00,"長崎県の温泉（第26報）,長崎県衛生公害研究所報 第41号,1995"
杖立温泉,熊本県,日田市,天瀬町出口,http://tsuetate-onsen.com,4.33,2710,19,14,9,7,10,12,1,True,True,True,False,False,False,False,False,False,False,33.1832480566406,131.033203125,熊本県,0,131.0,2.0,11.0,33.0,10.0,43.0,0,井戸,温泉・鉱泉,0,0,0,98.5,99.5,0,8.3,0,0,0.9995,0,1952.0,0,0,0,0,0,0.04,564.2,66.8,0,0,0.7,16.2,24.05,0,0,0.52,0.13,1.02,0,1.02,0.09,0.38,0.1,0,7.9,903.14,0,0,0.03,0,0,0.28,0.01,0,117.36,0,0.02,0.38,0,22.99,0.15,5.47,0,3.18,0,0,0.91,0.08,0,159.2,54.15,0.0,0.03,0.55,0,0,0,0,0,mg/kg,1964-11-24 00:00:00,"熊本県鉱泉誌 第Ⅱ巻,熊本県衛生公害研究所報,1978"
洞爺湖温泉,北海道,壮瞥町,字洞爺湖温泉,http://www.laketoya.com,3.97,12106,14,13,12,11,6,13,0,True,True,True,False,True,True,False,False,False,False,42.56529,140.8260773,北海道,札幌市南区薄別,141.0,8.0,30.0,42.0,56.0,30.0,0,湧泉,温泉・鉱泉,0,0,0,35.0,12.8,0,6.2,7.8,0,0,0,912.0,0,0,0,0,0,0,96.3,31.2,0,0,0,38.7,158.6,0,0,0.06,1.54,0.04,0,0.04,0.002,0.003,0,0,0.55,30.0,0,0,0,0,0,0,0,0,65.2,0,0,0,0,867.4,0,0,0,0,0,0,0,0,35.5,0,10.8,0.0,0,62,0,0.22,0,0,0,0,1972-09-30 00:00:00,北海道の地熱・温泉（B）西南北海道北部、北海道立地下資源調査所、1977
