都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,free H2s,free Co2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
大分県,豊後高田市,131,25,20,33,33,10,,井戸,用水,58,,,18.8,,,6.6,8.3,,,,,,,,0.4,,,44.9,8,,,0.11,41.4,49.5,,,,1.11,0.07,,0.1,,,,,,10.6,,,,0,,,,,5,,,,,,,,,,,,,,96,,,,,,,,,0.15,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,豊後高田市,131,27,40,33,32,40,,井戸,用水,7,,,9.6,,,6.3,6.7,,,,,,,,0.5,,,10.8,2.3,,,0,6.1,15.7,,,,,0,,0.02,,,,,,13.4,,,,0.05,1.28,,,,11.7,,,,,,,,,,,,,,42,,,,,,,,,0,,,1963-02-04 00:00:00,"大分・福岡県周防灘南岸地域における工業用地下水源,地調月報,1964"
大分県,1.（血の池）,,,,,,,,不明,温泉・鉱泉,,,,98,,,2.2,,,,,,,,,,,,396,151,,,,24,62.4,,,,,,,,,,,,,1260,,,,,,,,,730,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,2.（竜巻）,,,,,,,,不明,温泉・鉱泉,,,,105,,,2.5,,,,,,,,,,,,801,155,,,,28.7,84.9,,,,,,,,,,,,,1230,,,,,,,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,3.（しばせき）,,,,,,,,不明,温泉・鉱泉,,,,75,,,2.8,,,,,,,,,,,,288,60,,,,12.4,31.2,,,,,,,,,,,,,422,,,,,,,,,341,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,4.（やまじごく）,,,,,,,,不明,温泉・鉱泉,,,,87,,,3.2,,,,,,,,,,,,84.1,47.4,,,,11.1,39.9,,,,,,,,,,,,,241,,,,,,,,,223,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,5.（うみじごく）,,,,,,,,不明,温泉・鉱泉,,,,98,,,2.1,,,,,,,,,,,,743,160,,,,29,80.9,,,,,,,,,,,,,1120,,,,,,,,,969,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,6.（地蔵泉）,,,,,,,,不明,温泉・鉱泉,,,,80,,,2,,,,,,,,,,,,17.1,6.8,,,,6.2,16.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,7.（北町）,,,,,,,,不明,温泉・鉱泉,,,,60,,,7.9,,,,,,,,,,,,18.2,21.6,,,,37.2,63.3,,,,,,,,,,,,,,,,,,,,,,62.6,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,,,,,,,,,不明,温泉・鉱泉,,,,71,,,8,,,,,,,,,,,,193,14.8,,,,2.9,19.9,,,,,,,,,,,,,157,,,,,,,,,47.9,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,,131,14,0,33,6,50,,不明,温泉・鉱泉,,,,14,,,3.6,,,,,,,,,,,,12.4,5.2,,,,8.7,43,,,,,,,,,,,,,28.3,,,,,,,,,215,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,,,,,,,,,不明,温泉・鉱泉,,,,40,,,2,,,,,,,,,,,,77.5,10.5,,,,46.7,1.2,,,,,,,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
大分県,,131,11,40,33,7,10,,不明,温泉・鉱泉,,,,97,,,2.3,,,,,,,,,,,,935,108,,,,5.2,25.6,,,,,,,,,,,,,1500,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,1963,"日本の熱水系の水素，酸素の同位元素比と主成分化学について,地球科学ジャーナル1973"
