都道府県名,所在地,東経(゜),東経(′),東経(″),北緯(゜),北緯(′),北緯(″),標高(m),水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質(外観臭味),pH,RpH,Rn(ﾏｯﾍ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,EH,KMnO4消費,H+,Li+,Na＋,Ｋ＋,Rb+,Cs+,NH4+,Mg2+,Ca2+,Sr2+,Ba2+,Al3+,Mn2+,Fe2+,Fe3+,T-Fe,Cu2+,Zn2+,Pb2+,Si4+,F−,Cl−,Br−,I−,OH−,NO2−,NO3−,HS−,S2O32−,HSO4−,SO42−,SO32−,H2PO4−,HPO42−,PO43−,HCO3−,CO32−,HSiO3−,SiO32−,BO2−,H2SO4,H3PO4,HAsO2,AsO2-,SiO2,H2SiO3,HBO2,dis.O2,free H2S,free CO2,T-CO2,T-As,T-Hg,T-P,T-B,単位,調査日,文献名
栃木県,小山市,139,48,30,36,18,50,,井戸,用水,121,,,17.3,,,7.2,7.3,,,,,,,,0.9,,,4.3,0.9,,,0,2.9,8.4,,,,,0,0.02,,,,,,,1.6,,,,0,,,,,2,,,,,48.8,,,,,,,,,37.4,,,2.64,,2.2,,,,0.1,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,小山市,139,47,40,36,18,50,,井戸,用水,127,,,17.1,,,7.1,7.2,,,,,,,,3.3,,,5,0.5,,,0,1.8,6,,,,,0,0,,,,,,,1.6,,,,0,,,,,3,,,,,35.4,,,,,,,,,30.3,,,4.97,,2,,,,0.07,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,小山市,139,48,40,36,18,20,,井戸,用水,108,,,17,,,7.1,7.4,,,,,,,,5.5,,,5.6,1.4,,,0.5,3.9,12.3,,,,,0.73,0.12,,,,,,,3,,,,0.27,,,,,3,,,,,68.5,,,,,,,,,46.3,,,1.52,,4.1,,,,0.15,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,小山市,,,,,,,,井戸,用水,,,,17,,,6.6,7.1,,,,,,,,6.1,,,3.9,0.7,,,0.3,1,4.8,,,,,0,0.02,,,,,,,1.11,,,,0.01,,,,,3,,,,,25,,,,,,,,,29.8,,,,,5.5,,,,0.04,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,佐野市,139,35,10,36,20,10,,湧泉,用水,,,,21.3,,,7.1,7.4,,,,,,,,4.7,,,3.4,1.2,,,0,4.6,26.3,,,,,0,0.02,,,,,,,6.7,,,,0,,,,,16.5,,,,,73.2,,,,,,,,,17.2,,,,,3.3,,,,0.02,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,佐野市,139,34,30,36,19,20,,井戸,用水,24,,,21.7,,,6.4,6.9,,,,,,,,2.4,,,3.5,1.4,,,0,4.7,24.6,,,,,0,0.02,,,,,,,7.2,,,,0,,,,,28,,,,,56.4,,,,,,,,,17.6,,,3.28,,18.3,,,,0.01,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,足利市,139,25,40,36,20,10,,湧泉,用水,,,,19.9,,,6.4,6.8,,,,,,,,2.3,,,7.1,2,,,0,4.8,24.3,,,,,0,0,,,,,,,12.5,,,,0,,,,,34.1,,,,,51.8,,,,,,,,,26.6,,,,,17.3,,,,0.01,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,足利市,139,27,20,36,18,30,,井戸,用水,,,,17.3,,,6.3,6.7,,,,,,,,5.7,,,6.9,2,,,0,4.7,27.2,,,,,0,0,,,,,,,9.2,,,,0,,,,,38.4,,,,,51.2,,,,,,,,,30,,,3.16,,20,,,,0.01,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,足利市,139,28,20,36,19,20,,井戸,用水,9,,,15.7,,,6.4,6.8,,,,,,,,5.4,,,17.9,6.4,,,0,8.2,28.3,,,,,0.03,0.01,,,,,,,19.2,,,,0,,,,,38,,,,,88.5,,,,,,,,,32.5,,,1.64,,23.8,,,,0.06,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
栃木県,足利市,139,28,20,36,19,50,,井戸,用水,92,,,16.9,,,6.9,7.1,,,,,,,,18.5,,,19.8,2.6,,,0,12.6,32.2,,,,,2.15,0,,,,,,,18.5,,,,0,,,,,36.4,,,,,147.3,,,,,,,,,50,,,1.29,,18.5,,,,0.18,,,1958-07-01 00:00:00,"栃木県鬼怒川右岸工業用水源地域調査報告,地調月報,1959"
