都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
愛媛,北条市中西外字内砂川379番地4,,,,,,,,不明,温泉・鉱泉,452,,10.5,20.5,17.6,無色透明・無味微弱硫化水素臭・沈析物なし,9.7,,1.5,,0.9977,0.6194,,,,,,0.1,190.4,1.3,,,0.3,0.5,38.1,0.6,1.4,0.1未満,0.1未満,,,,,0.1未満,,,9.5,313.4,1.0,0.1未満,0.8,0.1未満,0.1未満,,0.1未満,,22.1,,,,,12.2,4.2,,,,,,,,,30.1,1.4,,0.8,0.1未満,,,,,,mg/kg,1991.2.26.,"平成２年度温泉分析成績,平成2年度　愛媛県立衛生研究所年報、第52号,1991"
愛媛,,132,43,11.37000000006765,33,52,23.47000000003447,,井戸,温泉・鉱泉,1105,,,24.8,,,9.2,,,,,131.8,,,,,,,1175,1.4,,,,0.2,2.4,,,,,,,,,,,,21.4,22.7,,,,,,,,,13.4,,,,,,98,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,,132,43,11.37000000006765,33,51,5.20999999997116,,井戸,温泉・鉱泉,372,,,21.3,,,7.5,,,,,1361.4,,,,,,,2420,11.5,,,,276.8,234.3,,,,,,,,,,,,1.1,764,,,,,,,,,846,,,,,,51.2,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,,132,47,4.130000000077416,33,45,32.60000000000218,,湧泉,温泉・鉱泉,,,,18.9,,,7.5,,,,,1542,,,,,,,465.8,2.6,,,,16.5,84.8,,,,,,,,,,,,0.2,765.1,,,,,,,,,0.5,,,,,,1399,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,源泉数21,,,,,,,,不明,温泉・鉱泉,522,,,41.48,,,8.92,,,,,,,,,,,,65.18,1.36,,,,0.56,4.62,,,,,,,,,,,,10.44,30.21,,,,,,,,,11.90,,,,,,44.50,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,源泉数19,,,,,,,,不明,温泉・鉱泉,344,,,31.3,,,8.97,,,,,,,,,,,,76.09,2.37,,,,0.62,6.02,,,,,,,,,,,,10.06,51.91,,,,,,,,,13.17,,,,,,31.82,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,源泉数14,,,,,,,,不明,温泉・鉱泉,328.6,,,32.5,,,8.94,,,,,,,,,,,,16.35,1.14,,,,0.70,3.75,,,,,,,,,,,,8.93,125.91,,,,,,,,,7.82,,,,,,96.43,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,源泉数3,,,,,,,,不明,温泉・鉱泉,275,,,23.3,,,9.5,,,,,,,,,,,,53.5,0.75,,,,0.43,4.20,,,,,,,,,,,,14.50,13.63,,,,,,,,,5.87,,,,,,37.03,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,源泉数4,,,,,,,,不明,温泉・鉱泉,412.8,,,18.8,,,8.88,,,,,,,,,,,,51.25,0.93,,,,1.53,8.28,,,,,,,,,,,,6.30,9.63,,,,,,,,,968,,,,,,62.08,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,源泉数3,,,,,,,,不明,温泉・鉱泉,779.7,,,28.0,,,8.7,,,,,,,,,,,,236.2,1.8,,,,1.3,5.4,,,,,,,,,,,,17.0,219.9,,,,,,,,,28,,,,,,103.1,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
愛媛,源泉数2,,,,,,,,不明,温泉・鉱泉,750,,,36.1,,,7.6,,,,,,,,,,,,104.3,23.3,,,,60.4,171.6,,,,,,,,,,,,5.7,2031,,,,,,,,,0,,,,,,95.9,,,,,,,,,,,,,,,,,,,mg/kg,,"松山平野における温泉の化学的及び地球化学的研究,平成3年度　愛媛県立衛生研究所年報、第53号,1992"
