都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
山口,秋吉台,131,19,40,34,17,10,,湧泉,用水,,,21.7,15.2,,,7.2,,,,,,,,,,,,6.4,1.11,,,,1.27,17.9,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,,,,,,,,,,,,1974-08-26 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,40,34,17,10,,湧泉,用水,,,,,,,,8.1,,,,,,,,,,,3.1,0.15,,,,0.7,29.8,,,,,,,,,,,,,,,,,,,,,,4.8,,,,,83,,,,,,,,,2.3,,,,,,,,,,,,1974-08-24 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,20,10,34,15,50,,湧泉,用水,,,13.9,13.5,,,,,,,,,,,,,,,4.6,0.5,,,,2.92,39.3,,,,,,,1.28,,,,,,7.8,,,,,,,,,5.3,,,,,137,,,,,,,,,7.2,,,,,,,,,,,,1973-08-07 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,50,34,14,10,,湧泉,用水,,,14.5,16.8,,,7.6,,,,,,,,,,,,5.3,0.68,,,,1.58,48.2,,,,,,,0.15,,,,,,8.8,,,,,,,,,6.8,,,,,161,,,,,,,,,4.3,,,,,,,,,,,,1973-08-07 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,50,34,14,10,,湧泉,用水,,,,,,,,7.8,,,,,,,,,,,4.5,0.94,,,,1.67,44.3,,,,,,,0.2,,,,,,8.2,,,,,,,,,10.8,,,,,129,,,,,,,,,9.3,,,,,,,,,,,,1974-08-27 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,50,34,14,10,,湧泉,用水,,,15.6,16,,,7.7,,,,,,,,,,,,4.8,0.52,,,,1.53,51.1,,,,,,,,,,,,,,,,,,,,,,,,,,,162,,,,,,,,,7.5,,,,,,,,,,,,1974-08-27 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,19,50,34,14,10,,湧泉,用水,,,,,,,,7.9,,,,,,,,,,,5,0.47,,,,1.64,54.1,,,,,,,,,,,,,7.7,,,,,,,,,4.4,,,,,143,,,,,,,,,6.8,,,,,,,,,,,,1977-07-25 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,20,0,34,14,10,,湧泉,用水,,,27.6,15.5,,,7.2,,,,,,,,,,,,6.3,0.96,,,,1.33,51.4,,,,,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,15.1,,,,,,,,,,,,1975-08-09 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,40,34,13,40,,湧泉,用水,,,,,,,,7.8,,,,,,,,,,,3.4,0.16,,,,0.86,56.4,,,,,,,,,,,,,5.4,,,,,,,,,5.8,,,,,161,,,,,,,,,2.9,,,,,,,,,,,,1977-10-23 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,19.9,19.5,,,7.9,,,,,,,,,,,,25.3,2.5,,,,2.04,94.1,,,,,,,0.14,,,,,,80.5,,,,,,,,,9.6,,,,,131,,,,,,,,,6.1,,,,,,,,,,,,1973-08-18 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,15.5,15.6,,,7.8,,,,,,,,,,,,3.8,0.8,,,,1.3,42.7,,,,,,,0.38,,,,,,7.8,,,,,,,,,7.9,,,,,131,,,,,,,,,11.4,,,,,,,,,,,,1973-08-18 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,15.4,15.4,,,7.8,,,,,,,,,,,,3.2,0.16,,,,0.68,39,,,,,,,0.03,,,,,,4.7,,,,,,,,,7.6,,,,,106,,,,,,,,,2.5,,,,,,,,,,,,1973-08-18 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,15.8,15,,,8.2,,,,,,,,,,,,6.9,1.04,,,,2.22,66,,,,,,,0.02,,,,,,10.4,,,,,,,,,7.2,,,,,183,,,,,,,,,4.5,,,,,,,,,,,,1973-08-18 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,16,15.6,,,7.9,,,,,,,,,,,,4.7,0.5,,,,1.46,38.2,,,,,,,,,,,,,7.4,,,,,,,,,3.8,,,,,160,,,,,,,,,6.3,,,,,,,,,,,,1977-07-27 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,,,,,,8.1,,,,,,,,,,,5,0.54,,,,1.92,47.4,,,,,,,,,,,,,7.1,,,,,,,,,3.7,,,,,157,,,,,,,,,5.9,,,,,,,,,,,,1978-07-25 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
山口,秋吉台,131,18,20,34,13,30,,湧泉,用水,,,16,15.1,,,7.8,,,,,,,,,,,,9.3,1,,,,1.2,58.8,,,,,,,0.08,,,,,,17.8,,,,,,,,,7.3,,,,,136,,,,,,,,,5.8,,,,,,,,,,,,1973-08-18 00:00:00,"山口県秋吉台の地下水の化学成分,秋吉台科学博物館報告,1980"
