都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,dis.O2,Free H2S,free CO2,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
佐賀県,鳥栖市,130,30,50,33,22,10,,井戸,用水,,,,17.7,,,6.2,7.1,,,,,,,,1.8,,,17.2,3.6,,,0.1,4.4,17.6,,,,,0,0.02,,,,,,,16.7,,,,0.01,,,,,25,,,,,48.8,,,,,,,,,38,,,,,28.7,,,,0.02,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,31,40,33,22,30,,井戸,用水,,,,18,,,7.1,,,,,,,,,5.8,,,14.6,1.5,,,0.2,2.2,7.4,,,,,0.16,0,,,,,,,6,,,,0.01,,,,,0,,,,,54.9,,,,,,,,,46.6,,,,,1.7,,,,0.16,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,31,40,33,23,0,,井戸,用水,,,,20.1,,,8.4,8.4,,,,,,,,0.3,,,16.9,2.4,,,0.1,0.5,13.9,,,,,0,0.01,,,,,,,16.4,,,,0,,,,,3,,,,,33.6,,,,,,,,,20,,,,,0,,,,0.01,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,31,50,33,23,10,,井戸,用水,60,,,17.6,,,8.5,8.5,,,,,,,,2.8,,,11.5,0.6,,,0.2,0,9.7,,,,,0,0.03,,,,,,,0.7,,,,0,,,,,2,,,,,28.7,,,,,,,,,19,,,,,0,,,,0.05,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,31,30,33,23,10,,井戸,用水,,,,17.8,,,7.2,7.4,,,,,,,,2.8,,,27,1,,,0.1,11.8,58.8,,,,,0,0.01,,,,,,,68.1,,,,0.01,,,,,21,,,,,129.3,,,,,,,,,48,,,,,12.5,,,,0.05,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,30,10,33,23,30,,井戸,用水,,,,20.2,,,7.4,7.5,,,,,,,,6.1,,,15.7,0.8,,,0.1,3.2,15.4,,,,,0,0.03,,,,,,,6,,,,0,,,,,0,,,,,84.1,,,,,,,,,45.4,,,,,1.7,,,,0.09,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,32,10,33,24,10,,井戸,用水,,,,,,,7.9,7.9,,,,,,,,9.4,,,21.5,0.6,,,0.3,0.2,1.2,,,,,0,0.05,,,,,,,5.7,,,,0.07,,,,,3,,,,,40.2,,,,,,,,,20,,,,,0,,,,0.36,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,32,10,33,23,40,,井戸,用水,,,,18.6,,,8.5,8.5,,,,,,,,7.1,,,25.5,0.5,,,0.8,0.2,2,,,,,0,0.05,,,,,,,0.9,,,,0,,,,,3,,,,,41.5,,,,,,,,,17.4,,,,,0,,,,0.3,,,1960/1,"筑後川下流平野の地下水,地調月報,1961"
佐賀県,鳥栖市,130,32,40,33,22,30,,井戸,用水,50,,,18.4,,,6.1,6.8,,,,,,,,0.93,,,12.8,4.9,,,0.6,5.7,18.1,,,,2.1,0.23,,0.23,,,,,,14.4,,,,0,,,,,21,,,,,,,,,,,,,,57.3,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
佐賀県,鳥栖市,130,32,0,33,21,40,,井戸,用水,50,,,18.6,,,7.4,7.6,,,,,,,,0.68,,,14.1,1.9,,,0.4,1.7,10.5,,,,0,0.14,,0.14,,,,,,3.6,,,,0,,,,,0,,,,,,,,,,,,,,50.5,,,,,,,,,,,,1964-11-04 00:00:00,"佐賀・福岡県筑後平野東部地域における工業用地下水源,地調月報,1966"
