都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ－Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ－,Ｃｌ－,Ｂｒ－,I－,OH－,ＮＯ２－,ＮＯ３－,ＨＳ－,Ｓ２Ｏ３2－,ＨＳＯ４－,ＳＯ４２－,ＳＯ３２－,Ｈ２ＰＯ４－,ＨＰＯ４２－,ＰＯ４３－,ＨＣＯ３－,ＣＯ３２－,ＨＳｉＯ３－,ＳｉＯ３２－,ＢＯ２－,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ－ＣＯ２,Ｔ－Ａｓ,Ｔ－Ｈｇ,Ｔ－Ｐ,Ｔ－Ｂ,単位,調査日,文献名
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,14.4,,,6,,,,,,,,,,,,10.4,2.4,,,,4.3,20.8,,,,,,,,,,,,,16,,,,,,,,,27.5,,,,,61.2,,,,,,,,,10.3,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,15.9,,,5.6,,,,,,,,,,,,7.9,1.6,,,,2.7,8.2,,,,,,,,,,,,,9.1,,,,,,,,,27.8,,,,,11.6,,,,,,,,,11.8,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,15.5,,,6.2,,,,,,,,,,,,6.8,1.1,,,,4.2,8,,,,,,,,,,,,,2.5,,,,,,,,,21.9,,,,,59.3,,,,,,,,,7.5,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,15.9,,,6,,,,,,,,,,,,6.8,0.9,,,,3.6,9.1,,,,,,,,,,,,,7.2,,,,,,,,,22.2,,,,,30.1,,,,,,,,,16.2,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,12.9,,,5.5,,,,,,,,,,,,4.2,0.8,,,,2.1,6.5,,,,,,,,,,,,,3.2,,,,,,,,,27.6,,,,,8.4,,,,,,,,,11.3,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,15.9,,,6.1,,,,,,,,,,,,1.3,5,,,,0.5,4.5,,,,,,,,,,,,,2.9,,,,,,,,,30.4,,,,,13.6,,,,,,,,,6.9,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,13.9,,,6.9,,,,,,,,,,,,3.8,0.9,,,,1.5,4.3,,,,,,,,,,,,,1.9,,,,,,,,,26.8,,,,,18.1,,,,,,,,,15.7,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,16.8,,,5.8,,,,,,,,,,,,3.1,0.8,,,,1.9,4.9,,,,,,,,,,,,,1.6,,,,,,,,,29.4,,,,,19.4,,,,,,,,,8.7,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,12.8,,,5.7,,,,,,,,,,,,3.1,0.5,,,,1.8,4.8,,,,,,,,,,,,,1.4,,,,,,,,,27.5,,,,,18.7,,,,,,,,,8.3,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
滋賀,大津市串林地すべり地,,,,,,,,湧泉,地すべり湧水,,,,14.8,,,6,,,,,,,,,,,,4.3,0.9,,,,0.6,1.9,,,,,,,,,,,,,3.4,,,,,,,,,25.7,,,,,7.7,,,,,,,,,19.1,,,,,,,,,,,,1973-04-24 00:00:00,"串林地すべり地の湧水量と溶存化学成分の関係,京大防災研究所年報,1974"
