都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
三重県,四日市市,,,,,,,,井戸,用水,91,,,18.7,,,7.3,7.6,,,,,,8400,,8.5,,,20.8,1,,,0.3,4.5,4.8,,,,,0.19,0.68,,,,,,,8.9,,,,0.15,,,,,,,,,,85.3,,,,,,,,,34,,,,,1.8,,,,0.04,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,93,,,21.5,,,7.2,7.4,,,,,,6200,,5.7,,,25.4,1.3,,,0.1,5.7,5.2,,,,,0.96,0.18,,,,,,,18.6,,,,0,,,,,,,,,,87.2,,,,,,,,,40.4,,,,,4.8,,,,0.27,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,138,,,19.6,,,6.9,7.4,,,,,,9000,,5.4,,,18.1,0.9,,,0.4,5.7,5.3,,,,,0.25,0.06,,,,,,,9.4,,,,0,,,,,2,,,,,79.7,,,,,,,,,35.2,,,0.42,,8.8,,,,0.06,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,152,,,19.8,,,7.3,7.5,,,,,,9400,,1.3,,,16.8,0.7,,,0,5.2,6.5,,,,,0,0.02,,,,,,,6.3,,,,0,,,,,0,,,,,83.6,,,,,,,,,31.6,,,,,1.1,,,,0.17,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,190,,,19.2,,,6.9,7.3,,,,,,6500,,1.3,,,26.4,1.5,,,0.9,6.1,7.2,,,,,1.03,0.6,,,,,,,23.3,,,,0.03,,,,,2,,,,,91.9,,,,,,,,,25.2,,,0.89,,6.2,,,,0.06,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,156,,,20.5,,,6.9,7.5,,,,,,8200,,4.4,,,20.3,0.8,,,0.4,6.2,6.7,,,,,0.37,0.05,,,,,,,13.2,,,,0,,,,,4,,,,,83.4,,,,,,,,,28,,,0.44,,4,,,,0.15,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,171,,,19,,,7.1,7.4,,,,,,15000,,7.9,,,3.7,1.2,,,0.4,2.5,7.4,,,,,0.14,8.15,,,,,,,7.8,,,,0.02,,,,,9,,,,,37.6,,,,,,,,,8,,,5.23,,2.2,,,,0.02,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,149,,,19.2,,,7,7.5,,,,,,10000,,0.3,,,20.1,0.8,,,0.2,6.1,5.3,,,,,0.32,0.05,,,,,,,6.6,,,,0,,,,,2,,,,,90.3,,,,,,,,,19.6,,,1.68,,4.4,,,,0.11,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,181,,,18.3,,,6.8,7.3,,,,,,7400,,4.4,,,17.9,3.4,,,0.4,3.3,8.7,,,,,3.77,1.32,,,,,,,13.1,,,,0,,,,,3,,,,,84.5,,,,,,,,,24.4,,,1.84,,11,,,,0.39,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
三重県,四日市市,,,,,,,,井戸,用水,181,,,,,,6.5,7,,,,,,,,5.6,,,73.2,11.7,,,0.8,8.5,10.3,,,,,,5.58,,,,,,,75.7,,,,0,,,,,4,,,,,134.6,,,,,,,,,33.2,,,,,16.5,,,,0.84,,,1956-10-01 00:00:00,"三重県四日市市工業用深井戸水源調査報告,地調月報,1957"
