都道府県名,所在地,東経（゜）,東経（′）,東経（″),北緯（゜）,北緯（′）,北緯（″),標高（ｍ）,水源種別,利用目的,井戸深度,採水標高,気温,水温,湧出量,水質（外観臭味）,ｐＨ,ＲｐＨ,Ｒｎ(マッヘ),比重,密度,蒸発残留物,電気伝導度,水比抵抗,ＥＨ,ＫＭｎＯ４消費,Ｈ＋,Ｌｉ＋,Na＋,Ｋ＋,Ｒｂ＋,Ｃｓ＋,ＮＨ４＋,Ｍｇ２＋,Ｃａ２＋,Ｓｒ２＋,Ｂａ２＋,Ａｌ３＋,Ｍｎ２＋,Ｆｅ２＋,Ｆｅ３＋,Ｔ−Ｆｅ,Ｃｕ２＋,Ｚｎ２＋,Ｐｂ２＋,Ｓｉ４＋,Ｆ−,Ｃｌ−,Ｂｒ−,I−,OH−,ＮＯ２−,ＮＯ３−,ＨＳ−,Ｓ２Ｏ３2−,ＨＳＯ４−,ＳＯ４２−,ＳＯ３２−,Ｈ２ＰＯ４−,ＨＰＯ４２−,ＰＯ４３−,ＨＣＯ３−,ＣＯ３２−,ＨＳｉＯ３−,ＳｉＯ３２−,ＢＯ２−,Ｈ２ＳＯ４,Ｈ３ＰＯ４,ＨＡｓＯ２,ＡｓＯ２-,ＳｉO２,Ｈ２ＳｉＯ３,ＨＢＯ２,ｄｉｓ．０２,ｆｒｅｅ　Ｈ２Ｓ,ｆｒｅｅ　ＣＯ２,Ｔ−ＣＯ２,Ｔ−Ａｓ,Ｔ−Ｈｇ,Ｔ−Ｐ,Ｔ−Ｂ,単位,調査日,文献名
岩手県,岩泉町,141,48,0,39,51,20,,湧泉,用水,,,,9.9,,,7.5,7.7,,,,,165,,,,,,2.8,0.4,,,,1.2,26.6,,,,,,,,,,,,,2.8,,,,,,,,,1.9,,,,,84.208,,,,,,,,,10,,,,,,,,,,,,1978-08-09 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,44,40,39,58,40,,湧泉,用水,,,,10,12600,,7.5,7.5,,,,,,,,,,,2.3,0.5,,,,1.4,28.5,,,,,,,,,,,,,3.4,,,,,,,,,1.2,,,,,85.428,,,,,,,,,,,,,,,,,,,,,1977-09-10 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,44,40,39,58,40,,湧泉,用水,,,,9.8,1100,,7.6,7.8,,,,,189,,,,,,2.8,0.5,,,,1.5,30.6,,,,,,,,,,,,,2.8,,,,,,,,,1.6,,,,,97.632,,,,,,,,,9.2,,,,,,,,,,,,1978-08-07 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,46,10,39,59,30,,湧泉,用水,,,,10,7200,,7.6,7.7,,,,,143,,,,,,2.7,0.5,,,,1.4,38.2,,,,,,,,,,,,,2.6,,,,,,,,,2.1,,,,,118.379,,,,,,,,,,,,,,,,,,,,,1977-09-12 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,46,10,39,59,30,,湧泉,用水,,,,10.2,900,,7.5,7.7,,,,,211,,,,,,3,0.5,,,,1.4,34,,,,,,,,,,,,,2.9,,,,,,,,,3.3,,,,,108.005,,,,,,,,,9.6,,,,,,,,,,,,1978-08-06 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,47,10,39,57,40,,湧泉,用水,,,,9.4,1900,,7.6,7.7,,,,,173,,,,,,3,0.5,,,,1.2,26.8,,,,,,,,,,,,,2.7,,,,,,,,,1.6,,,,,87.869,,,,,,,,,11.8,,,,,,,,,,,,1978-08-06 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,岩泉町,141,43,30,39,58,50,,湧泉,用水,,,,9.6,,,7.5,7.6,,,,,,,,,,,2.1,0.4,,,,1.5,35.1,,,,,,,,,,,,,3.2,,,,,,,,,1.4,,,,,108.616,,,,,,,,,,,,,,,,,,,,,1977-09-11 00:00:00,岩手県安家石灰岩地域の水文地質－岩泉・安家地区－，地調月報，1981
岩手県,久慈市,141,42,50,40,5,0,,湧泉,用水,,,,11.1,1300,,7.4,7.5,,,,,188,,,,,,3.5,0.74,,,,1.4,32.1,,,,,,,,,,,,,3.4,,,,,,,,,4.3,,,,,96.41,,,,,,,,,11.8,,,,,,,,,,,,1979-08-07 00:00:00,岩手県安家石灰岩地域の水文地質－安家以北地区－，地調月報，1984
岩手県,久慈市,141,43,10,40,3,30,,湧泉,用水,,,,9.4,,,7.6,7.7,,,,,232,,,,,,2.5,0.51,,,,1.69,36.5,,,,,,,,,,,,,3.6,,,,,,,,,5.6,,,,,122.65,,,,,,,,,9.9,,,,,,,,,,,,1980-10-29 00:00:00,岩手県安家石灰岩地域の水文地質－安家以北地区－，地調月報，1984
岩手県,久慈市,141,43,40,40,3,20,,湧泉,用水,,,,10,,,7.8,7.6,,,,,86,,,,,,3.6,0.5,,,,1.1,12.1,,,,,,,,,,,,,3.8,,,,,,,,,3,,,,,36.61,,,,,,,,,13.9,,,,,,,,,,,,1979-08-05 00:00:00,岩手県安家石灰岩地域の水文地質－安家以北地区－，地調月報，1984
